ID(deprecated),Gender,Armor Image,File Name,link,Name,Rarity,Description,effects,Story Notes,Type,Class,main slot,Job,II,Slot 1,Slot 2
,F,,IMG_1003,https://drive.google.com/uc?export=view&id=1oDP1X6GcPTU9lcCpPCjWx8hxL8mzNaY3,Shoulder Guards of the Minotorch,epic,"Made from pure steel and adorned with Minotorch feathers as decoration, this shoulder armor is sold at a high price in the market.",,monster Minotorch,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,F,,IMG_1001,https://drive.google.com/uc?export=view&id=1tDBmsjfLzP2cy7T6uKT2ftm1ObGStLwZ,Ethermesh Shoulder Armor,common,"This shoulder armor is rarely used for combat, as it's typically worn by guards of goods. However, its durability is noteworthy.",,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,M,,IMG_0988,https://drive.google.com/uc?export=view&id=11UFUc-lWMaRDD3C8irrKQo4uk3iBNsb5,Bluewave Brigand Shoulderplates,epic,"Although its name may seem ""evil,"" many fighters from various backgrounds wear these shoulder plates. They are suitable for use when sailing the seas.",,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,M,,IMG_0984,https://drive.google.com/uc?export=view&id=12W8qtVNqhkRh4A6N2b7FirGR5zdoVlHo,Indigo Diviner Shoulderplates,rare,"Used by knights with high-energy magic weapons, as this shoulder armor stores powerful energy.",,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,M,,IMG_0985,https://drive.google.com/uc?export=view&id=13t9P_Dp8GBqF4dDwlh18cDt-HRhkV8Vz,Nebular Protectors,legendary,"Unbelievably light yet durable, its made from an unknown material, not from this world",,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,M,,IMG_0986,https://drive.google.com/uc?export=view&id=185jVlGhM9IsxJ_P_E3BpGsN8XrC4s57o,Chivalric Shoulderplates,epic,The wearer of this shoulder armor is synonymous with someone who is steadfast in knightly values.,,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,M,,IMG_0982,https://drive.google.com/uc?export=view&id=18JjPaVVNz1Fc5GqOj13g22G4WDSEVn5e,Icicle Shoulderplates,epic,Shoulderplates that are suitable for use alongside water-element armor or armor equipped with ice magic cards.,,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,M,,IMG_0981,https://drive.google.com/uc?export=view&id=1TrV26CUcWz4OhhVEVW37Ki0mvNPN9MBp,Sky Wings Shoulderplates,epic,"If used near a temple (any temple), this shoulder armor will automatically make the arms feel lighter and more free when swinging a weapon.",,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,M,,IMG_0983,https://drive.google.com/uc?export=view&id=1UkZuJ8sYr07gQ0p3oK4QnlnclynPlnXR,Yellow River Shoulderplates,legendary,This shoulder armor is highly appealing to beauty enthusiasts due to its vibrant yellow color. It's sturdy and reasonably priced.,,,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,M,,IMG_0987,https://drive.google.com/uc?export=view&id=1urMZktS9zVZDLkPyAODD9l1h2NOoVhHi,Epaulets of the Red Valley,epic,"Shoulder guards worn by high-ranking individuals in Chambra Temple. Believe it or not, those seemingly dense feathers are made from plants.",,Chambra Temple,SHOULDER ARMOR,EQUIPS,Shoulders,,,,-
,M,,RAGE ONI,https://drive.google.com/uc?export=view&id=104qNr2cRhjd6urs0MqUZG7dgtnUaVLag,Muzzle of the Ghost,legendary,"It is believed that the spirits of the warriors continue to scream in pain after death, so this mask is made to cover the mouths of the bodies of the warriors. However, since that legend is no longer popular, these mouth masks are now widely used by warriors and Hatchy hunters.",,,MOUTH MASK,EQUIPS,Mouth Slot,,,,-
,M,,ZECRET,https://drive.google.com/uc?export=view&id=14fUYDtqlTvMuvVgid6vengfV7z5apwlO,Costume Blade,epic,Costume Headgear worn at parties,,,MOUTH MASK,EQUIPS,Mouth Slot,,,,-
,M,,PERCIASH,https://drive.google.com/uc?export=view&id=1ODP15lp1TJ5wA-yWYAUggMBALuYP9l_6,Agrucium Mask,epic,Modern mouth mask commonly used by Hatchy hunters in dense forests. Aids in camouflage within the forest.,increased stealth,,MOUTH MASK,EQUIPS,Mouth Slot,,,,-
,M,,CROSSFURY,https://drive.google.com/uc?export=view&id=1kWU_Q1AAs-6YGshO863dQK5JqRbfqkhh,Silentium Mask,legendary,Mouth masks often used by knights who do not wish to reveal their identities. Also used by ninjas.,increased stealth,,MOUTH MASK,EQUIPS,Mouth Slot,,,,-
,M,,RAPTORATUS,https://drive.google.com/uc?export=view&id=1COFJ2C6-qvpXrm6FD96tVhvnRzhpGIXq,Sandcurse Mask,rare,Mouth mask used by ninjas who typically operate in sandy and rocky areas. Allows the wearer to breathe comfortably even during sandstorms.,"increased stealth, resistance to blind",,MOUTH MASK,EQUIPS,Mouth Slot,,,,-
,M,,IRONJAW,https://drive.google.com/uc?export=view&id=1lsdv8bttdQ9gkED53TFFl6L3os18el15,Dragonbreath Chin Guard,rare,"This chin guard is typically worn by blacksmiths to protect their chin while crafting weapons, but some knights have begun popularizing it in combat tournaments.",,,MOUTH MASK,EQUIPS,Mouth Slot,,,,-
,M,,MOBDOCTOR,https://drive.google.com/uc?export=view&id=1skNiWNxubRLQB4oTP3pMTZPYh_KZOfqC,Anti Plaguebringer,common,Mouth masks exclusively worn by 'gatekeepers' of dungeons filled with Hatchy capable of emitting poison. Used as a sign for novice Hatchy hunters that the dungeon is filled with deadly toxins.,,,MOUTH MASK,EQUIPS,Mouth Slot,,,,-
,M,,THE DETERRENT,https://drive.google.com/uc?export=view&id=1tiQxjILp8ZmwkxCZPkjvNT3aSlEyJ3KI,Hegralt Patch,common,Accessories worn on the nose and chin. Famous in the southern mainland.,,,MOUTH MASK,EQUIPS,Mouth Slot,,,,-
,M,,Acolyte Visage (Male)_1109,https://drive.google.com/uc?export=view&id=1mK_BEDlhCj8QiwC7Ie_JdR1PmJF73Gen,Acolyte Visage (Male),rare,The mask of the lower-ranked members of The Order during ceremonies to avoid recognition,,,MASK,EQUIPS,Eyewear,,,,-
,F,,Acolyte Visage (Female),https://drive.google.com/uc?export=view&id=1zKGf-breQwHNzTK9YWIor67o2Hm7xYVe,Acolyte Visage (female),rare,The mask of the lower-ranked members of The Order during ceremonies to avoid recognition,,,MASK,EQUIPS,Eyewear,,,,-
,M,,Acolyte Visage (Male),https://drive.google.com/uc?export=view&id=1Wk56qTP8HbflcZZErq_M_MHlK7GlK5up,Acolyte Visage (Male),rare,The mask of the lower-ranked members of The Order during ceremonies to avoid recognition,,,,,,,,,
,F,,IMG_1029,https://drive.google.com/uc?export=view&id=13uod4XHYryBJ7EInpTZhfoLdzFdKJBE5,Shadowmere Baraq,legendary,commonly Light-element headgear. increases light-elemental effectiveness,increased light element,,FACIAL CROWN,EQUIPS,Eyewear,,,,-
,M,,IMG_1027,https://drive.google.com/uc?export=view&id=17mJfsj2SlYaOijLap6vUMXF9ZTS6CR8B,QuantumGaze,epic,A mask imbued with Void-Element Runes. Ideal for users specialized in Void-Elemental Hatchy Masters,increased void element,,FACIAL CROWN,EQUIPS,Eyewear,,,,-
,M,,IMG_1025,https://drive.google.com/uc?export=view&id=18bYZX1UfwNQoI2hEN7F0I950tPQao080,Sentinel Head Protector,common,A common head protector.,,,FACIAL CROWN,EQUIPS,Eyewear,,,,-
,M,,IMG_1028,https://drive.google.com/uc?export=view&id=1UXuYI1QzZYbCM38vwWTWjmikaCYszj9Y,Ancient Bullveil Protector,legendary,"A Mask made from Doom Horn and Abysit that can increase the hardness level of the armor worn on the body. despite its tiny size, its extremely heavy","cumbersome, increased armor",,LARGE 1 BY 2 FACIAL CROWN,EQUIPS,Headgear,,,,-
,M,,IMG_1026,https://drive.google.com/uc?export=view&id=1rb-zFhLa2Doe-UCWNG_OhHlPjtL4jAes,Scorchrex Mask,epic,"A mask crafted by an Infernoforge, capable of inducing terrifying hallucinations, where all living creatures in front of the wearer appear as fire monsters ready to attack. This mask is sealed and stored within the Chambra Temple.",,,FACIAL CROWN,EQUIPS,Eyewear,,,,-
,M,,IMG_1023,https://drive.google.com/uc?export=view&id=1t0w_41QlT4Pt4LOL0uvuLAdy1whb2Hsn,Chriothik Necromancer,epic,"Crafted from 3 different Dark-element organs of Hatchy: Baphomet, Hypnoshade, and Murcial, this mask ranks among legendary masks. It possesses a high-level poison element, and strangely, it is believed to have the ability to resurrect the dead.",,,LARGE 1 BY 2 FACIAL CROWN,EQUIPS,Headgear,,,,-
,M,,IMG_1024,https://drive.google.com/uc?export=view&id=1zOwKFkWMQZIehtoOqYQ4ZUZ0RksiiNXv,Parados Starless,rare,"At first, the horns on this mask shone brightly as they were made from the horns of Hatchy Elkar, but the wearer of this mask has fallen into darkness and can never return. Therefore, the color of this mask has completely changed.",,,LARGE FULL FACIAL CROWN,EQUIPS,Headgear,,,,-
,M,,IMG_1014,https://drive.google.com/uc?export=view&id=14UQrZSEvIHY3JJo4CqFzGqXJry-gtNhN,Feline's Maschera,epic,"An open-faced mask taking the silhouette of a tiger, used by female warriors who rely on speed in combat.",,,FACIAL CROWN,EQUIPS,Eyewear,,,,-
,M,,IMG_1017,https://drive.google.com/uc?export=view&id=18jLADQw89sr-VCsD-B0xqrwxXqDcc_QZ,PurityMask,epic,"The face shield is used by a considerable number of middle-class warriors belonging to any kingdom, due to its affordable price and decent quality.",,,FACIAL CROWN,EQUIPS,Eyewear,,,,-
,M,,IMG_1021,https://drive.google.com/uc?export=view&id=1LF7uLzcR4x1o5VKm8NQHwhnz4jlIJmFD,Forgotten Grimoire,epic,"A cruel, Cursed mask made from Shadarkan, processed before the fire was extinguished",,,LARGE FULL FACIAL CROWN,EQUIPS,Headgear,,,,-
,M,,IMG_1015,https://drive.google.com/uc?export=view&id=1PsegfgPWgK3rooVQHTRhsGtSmtbM647M,Tygron's Maschera,epic,"Similar to the Feline's Maschera, but its user is male. It serves the same function as the female version, enhancing speed both in combat and running.",,,FACIAL CROWN,EQUIPS,Eyewear,,,,-
,M,,IMG_1018,https://drive.google.com/uc?export=view&id=1TQOo4TDBurrO5YT6_rZGgFh9GjESbthV,Iron Legion Mask,common,"A mask crafted in the likeness of an owl, worn by Hatchy Masters who soar through the skies on their flying companions. Embodying the wisdom and sharp vision of the owl, this mask is a symbol of mastery over the skies.",,,LARGE FULL FACIAL CROWN,EQUIPS,Headgear,,,,-
,M,,IMG_1016,https://drive.google.com/uc?export=view&id=1WuLJF_4gxR7Ewb0QcQ9tNkaeI30CE5wD,Glimmering Circos,epic,"A visage shield hailing from the ancient stronghold of Old Port. To don this protector is to bear the weight of countless tales of valor, each etched with the remnants of fierce clashes against malevolence, instilling an indomitable sense of pride.",Minimizes damage inflicted by Void-element attacks.,,LARGE FULL FACIAL CROWN,EQUIPS,Headgear,,,,-
,M,,IMG_1022,https://drive.google.com/uc?export=view&id=1sOosC6diViqFQfk8Rnq-lGaTVwiB4wqt,Estranged Chaotic Helm,legendary,"An Ancient form of the Fury Chaotic Helm, this prototype was said to eventually take control of the wearers mind",,,LARGE FULL FACIAL CROWN,EQUIPS,Headgear,,,,-
,M,,IMG_1019,https://drive.google.com/uc?export=view&id=1wXCB4bYpm9FXX8xYKW6X1JA-eqK55ZzZ,Mystishroud Mask,rare,Gives the wearer the ability to summon a sudden enveloping mist,,,LARGE 1 BY 2 FACIAL CROWN,EQUIPS,Headgear,,,,-
,M,,IMG_1020,https://drive.google.com/uc?export=view&id=1ykQChoJmEiil39RjaJuaibJozAj2lRNm,Fury Chaotic Helm,epic,"A special helmet for the high ranking Order members, gives increased power and the chance to curse opponents",,,LARGE FULL FACIAL CROWN,EQUIPS,Headgear,,,,-
,M,,MONOCULUS,https://drive.google.com/uc?export=view&id=14dcVw6YaF3K0qr3iMZae2Y95u-rvwFe7,EliteEye Monocle,common,"A monocle commonly used for examining the composition of an object. However, in the hands of a skilled craftsman, this monocle can enable its wearer to see the energy present within the bodies of living creatures.",,,GLASSES,EQUIPS,Eyewear,,,,-
,M,,THE LOOTER,https://drive.google.com/uc?export=view&id=1DpfnS9ZVG1haHzn-WAYSnlF0L5wcN3lZ,ForestDream EyePatch,rare,"An eye patch that is typically worn by warriors in training to sharpen their hearing, but is also used by blind individuals to cover their damaged eyes so they are not seen by others.",,,GLASSES,EQUIPS,Eyewear,,,,-
,M,,GEEK GLASSES,https://drive.google.com/uc?export=view&id=1N6K8v8eTN2OG89i7w2SPFB56wM9aTP0f,Lunatic Hypnoptic,common,Used by knights and even Grandknights to protect them from illusion attacks that target vision.,,,GLASSES,EQUIPS,Eyewear,,,,-
,M,,AUTRON,https://drive.google.com/uc?export=view&id=1jnHlsAO2vIhW4fcEhHmDvHRAq36-i3-B,Eyes of Ether,legendary,"A device highly valued for its ability to see the flow of energy within a weapon, be it a sword, magic wand, dagger, arrow, or even a shield. It enables the user to anticipate the element used by their opponent.",,,GLASSES,EQUIPS,Eyewear,,,,-
,M,,CRUISEYE,https://drive.google.com/uc?export=view&id=1ycTCC_hyxHRyJ4Ztwf5V1DR9uL9dI5Gj,Tuxedo's Quest,rare,"A tuxedo mask available in the country of Artaria, sold as a souvenir item. Often used at royal parties.",,,GLASSES,EQUIPS,Eyewear,,,,-
,M,,WANDERHOOD,https://drive.google.com/uc?export=view&id=16y6fVOxj6TbOnC8QzJ13WFoLC5xuuf7L,Leaf Village Bycocket,common,"A bycocket woven directly in Leaf Village, and can be used by both knights and common folk.",,,HAT,EQUIPS,Headgear,,,,-
,M,,CRACKSTONE HAT,https://drive.google.com/uc?export=view&id=1Kp87jfvk6kPPUK-m4lah0ctZFJQWAZrr,Long Red Farmer Hatband,common,A hatband used to protect the head from hot weather. Magic cards cannot be attached.,,,HAT,EQUIPS,Headgear,,,,-
,M,,PIKEMAN HELMET,https://drive.google.com/uc?export=view&id=1oAXTS15c3TSRVA4MMH1j_ubFBkJLUP0s,Iron Demon Kettle Hat,rare,"Although it looks simple, this helmet is commonly used by paladins in battle. Highly recommended for knights with high status.",,,HAT,EQUIPS,Headgear,,,,-
,M,,COSMICORE,https://drive.google.com/uc?export=view&id=1wm5oFT62KzI4nXG1ZeoV2WnedKhDxKax,Schattenkrone,rare,"A rare and expensive crown. It is crafted from a special material extracted using forbidden magic to emulate the power of Hatchy Abydon. Much like Abydon's abilities, the wearer of this crown can generate mist around them, and Schattenkrone users can also perceive everything concealed within the mist.",,Hatchy Abydon,EYEBROW CROWN,EQUIPS,Eyewear,,,,-
,M,,IMG_2243,https://drive.google.com/uc?export=view&id=1IwlBlI2lEClZpT1VQ3U2W1ndMFA6_IU9,Crown of the Whispering Void,legendary,"Used by the high-ranking members of The Order to distinguish themselves from their subordinates. It can ward off attacks of magic from all elements and can enhance the user's attacks, especially void-elemental magic.",,The Order,LARGE 1 BY 2 FACIAL CROWN,EQUIPS,Headgear,,,,-
,M,,IMG_2236,https://drive.google.com/uc?export=view&id=1fyaGXDnuv0hjgMLhWKiCX5zagBMO0aqo,Sovereign of the Abyssos Daemonium,legendary,"It is believed that anyone who wears this crown will be able to summon Felkyn, the god. To this day, no one knows who made it and what it is made of.",,,LARGE FULL FACIAL CROWN,EQUIPS,Headgear,,,,-
,F,,LUNARFORE,https://drive.google.com/uc?export=view&id=12wl0LHPMr1NbubS_KfaRHeKGTilIK6HP,Tiara Anemos,common,"The crown is intended for women. Anyone can use this crown, but the condition is that the wearer must have an official certification from a specific organization. It can conjure the magic of the wind.",,,EYEBROW CROWN,EQUIPS,Eyewear,,,,-
,F,,PALADINS PRIDER,https://drive.google.com/uc?export=view&id=10e8AUn1xnBW-MLz0TInZJ6BkGJz_ft3V,Diadem of the Radiant Dawn,epic,"Highly compatible when combined with Radiance Astral, it will cause its user to have multiplied strength. Often used by female knights, though quite frequently worn by non-knight female warriors with less noble intentions.",,,FOREHEAD CROWN,EQUIPS,Headgear,,,,-
,M,,IMG_1751,https://drive.google.com/uc?export=view&id=1xy45b7JEzhl4jVPItsjU02MWRX2rPG7Q,Tiara of the Astrapai,rare,"A tiara that is exceptionally well-suited for hunting Hatchy in dark places like caves or forests that are completely shrouded in darkness due to its ability to emit light from the gem at its center. It is primarily used by warriors, wizards, or Hatchy Masters ranging from beginner to intermediate levels.",,,FACIAL CROWN,EQUIPS,Eyewear,,,,-
,M,,IMG_2242,https://drive.google.com/uc?export=view&id=1DSDo39KUcEyl5USRqGZqx012gvCWKOLt,Mystikos Mors,rare,"The sacred crown of the knights that has the power to infuse ordinary weapons with magic. However, if this crown is removed during a battle, the weapons held by the knights can revert to being ordinary weapons. Therefore, it is advised to use it with caution.",,,LARGE 1 BY 2 FACIAL CROWN,EQUIPS,Headgear,,,,-
,M,,IMG_2245,https://drive.google.com/uc?export=view&id=1OYQGcdnIJsr0afR3eXXd5wWE7NolQOvi,Waldgeist Krone,legendary,"The crown is worn by Sharian Aelrindel, the King of the Fairies in the forest where the Leaf Temple is situated. It possesses the secret magic of the forest and makes its wearer resistant to attacks from stone-made weapons.",,,LARGE FULL FACIAL CROWN,EQUIPS,Headgear,,,,-
,F,,VALKYRIE CROWN,https://drive.google.com/uc?export=view&id=1CzDWZzDFC4NIundSHjByKrY1I1yfkbKa,Regalia of the Mystic Aurora,epic,"The crown is shaped like a bird with outstretched wings. It is made from the finest artifacts not available in the market, and obtaining it requires risking one's life. It possesses extraordinary energy.",,,EYEBROW CROWN,EQUIPS,Eyewear,,,,-
,M,,ANGELER,https://drive.google.com/uc?export=view&id=10E_jl_nBdTc4z0iHiHE3f14Zagos_i1i,Harmony Horns,common,"Horn accessories resembling dove wings, commonly used for festivals. Made from high-quality buffalo bone.",,,HORN,EQUIPS,Headgear,,,,-
,M,,DEMONAC,https://drive.google.com/uc?export=view&id=1KLiKebeV50L9D7ZVYnrtmZY0ZN6x7R2Y,ShadowFlap Horns,common,"Horn accessories resembling bat wings, commonly used for festivals. Made from teak wood and special ceramic.",,,HORN,EQUIPS,Headgear,,,,-
,M,,MOTTLER KING,https://drive.google.com/uc?export=view&id=1Mjav-rRyUCiNgGeYJBXJXBBT2JNhtwyM,Royal Antlers,common,"Special horn accessories resembling deer antlers, commonly used for festivals. Made from sandalwood and combined with horn powder from Hatchy Elkar to add authority.",,,HORN,EQUIPS,Headgear,,,,-
,M,,IMG_3752,https://drive.google.com/uc?export=view&id=13Jv8Q-nUeE1BJY6lEIP8Fj1jXd0vZqJw,Gleeful Behemoth Attire,legendary,"Crafted from the Behemoth, it has the ability to raise the wearers luck",increased luck,"
Behemoth gen2 grass monster",BODY ARMOR,EQUIPS,Torso,,,,-
,M,,IMG_3847,https://drive.google.com/uc?export=view&id=1WWHOrfnIFgB6LRpktOU99-vGrykCL1jQ,Gray T-shirt,common,Men's T-shirt in sophisticated gray.,,,BODY ARMOR,EQUIPS,Torso,,,#REF!,-
,M,,IMG_3849,https://drive.google.com/uc?export=view&id=1o8JZdRwpCW7qdE3qXp7Ra9P1EnimIOuB,Red Tank Top,common,Men's tank top in red.,,,BODY ARMOR,EQUIPS,Torso,,,#REF!,-
,M,,IMG_3857,https://drive.google.com/uc?export=view&id=1NkO6GjXGiNlTZQZLifWFX5EukgQn_Ut8,Semi-Winter Jacket,common,A semi-winter jacket seamlessly blending the elements of nature with cutting-edge technology.,,,BODY ARMOR,EQUIPS,Torso,,,#REF!,-
,M,,IMG_3859,https://drive.google.com/uc?export=view&id=13d5n28RsHjrrROCWos-gVN8EOkypX-jX,Timeless Charcoal Blazer,common,Radiating elegance that commands trust and credibility – truly a must-have addition to every man's collection.,,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,IMG_3762,https://drive.google.com/uc?export=view&id=1Y7gK03ONS66ZGXNTAd4mTTH5g2Uz7XoS,Drakonian Float Armor,epic,"An armor infused with shards of esoteric artifacts from Drakonia, granting the wearer the ability to levitate. This extraordinary power comes at a cost, significantly draining their energy.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,IMG_3760,https://drive.google.com/uc?export=view&id=1vuIolSV66ZBPApbN8wrxp42LUcJY1e2y,Chancellor’s Ornate Garb,epic,"A gracefully adorned garb, exuding elegance and authority, symbolizing a high office and significant responsibilities. Typically worn by the royal treasurer.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,IMG_3757,https://drive.google.com/uc?export=view&id=1dsgSOJ_-REgDKE6bl8pl71N7fbwlUQyb,Emperor Crabemoth,legendary,"Defying the conventions of human armor crafting, this legendary armor is said to have been forged in the deepest, darkest parts of the ocean. It is believed to be worn by dragon riders who reign over the seas.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,IMG_3755,https://drive.google.com/uc?export=view&id=13ILa47AV418ZRJC6T4Fr3oq_QR0G07Sz,Buzzkill's Breastplate,epic,"Highly territorial, Buzzkill becomes furious when another Buzzkill invades its domain. Armor crafted from Buzzkill remains is ideal for mental combat training. Paired with the Buzzkill magic card, it grants the wearer abnormal physical strength.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,IMG_1636,https://drive.google.com/uc?export=view&id=1mWCUXlFo_vNkh7jJwAXsa4qDqFmk1o8g,Pirates' Parley Hauberk,epic,"While it appears comfortable and charming when worn, it is perilous as it is typically donned by high-ranking pirates. The fur collar cleverly conceals poisonous needles.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,IMG_3135,https://drive.google.com/uc?export=view&id=10l8xRBqC3bkZMH4boPiqaBic3JTzewaS,Space Rescue Division's Armor (Male),legendary,An armor whose name has become legendary for traversing the stars and saving countless lives in space.,,,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,IMG_3137,https://drive.google.com/uc?export=view&id=11mjBr7zto1TIMFtATJW5MlPPkGlJbgFI,Space Rescue Division's Armor (Female),legendary,An armor whose name has become legendary for traversing the stars and saving countless lives in space.,,,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,IMG_3845,https://drive.google.com/uc?export=view&id=1DpiH7tz3kNeLzXYiU_A0rZjGjkhvhVIc,Open-Front Hoodie with Fur Collar,common,"A stylish and warm fur collar hoodie, perfect for women with a youthful spirit.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,IMG_3754,https://drive.google.com/uc?export=view&id=1io5foRBBInqcgf1TJuHF8nmWXkG_Shl9,Quartz Yucca,epic,"A rare yucca leaf that grows on quartz rocks. It is often used by knights who hunt in dark places. With this accessory, they don't have to fear losing their way because of its glowing green light in the dark.",,,BACK ACCESSORIES,EQUIPS,Back,,,,-
-,#N/A,#N/A,,#N/A,,common,,,,#N/A,#N/A,#N/A,,,#REF!,-
,U,,IMG_3401,https://drive.google.com/uc?export=view&id=1jRpbyP-6oyvIcAu96dqzBO7nVbySDfS6,Wraithaxe,epic,An axe said to be able to cut shadows.,,,BACK ACCESSORIES,EQUIPS,Back,,,,-
,U,,IMG_3402,https://drive.google.com/uc?export=view&id=1pdp-Wf2eVPmumVhoZsbGjQDBFr3gFfej,Starry Halberd,epic,"A golden spear with not just one, but seven spearheads. It can be used to pierce and simultaneously tear the skin of opponents.",,,BACK ACCESSORIES,EQUIPS,Back,,,,-
,U,,IMG_3403,https://drive.google.com/uc?export=view&id=1ACFPKVpSJ1fw7ywW00Jm_PCyVJ4K3cco,Misery Dark Serpent,epic,Mid-tier sword used as a secondary weapon by ninjas.,,,BACK ACCESSORIES,EQUIPS,Back,,,,-
,U,,IMG_3404,https://drive.google.com/uc?export=view&id=1AsOBp_Ost4_-FwfMyZmNk6KDK05PTo_1,Erosion Staff,epic,"A dangerous magic staff that can only be used for malevolent purposes, specifically to cause natural disasters. Only a chosen wielder can activate its power.",,,BACK ACCESSORIES,EQUIPS,Back,,,,-
,U,,Schyte,https://drive.google.com/uc?export=view&id=1SdxMhS3tVUOaddrtqdO45jxz8VB4pfdV,Fiery Reaper,epic,Fiery scythe gained after spiritbonding with Scythepaw,,Hatchy Scythepaw,BACK ACCESSORIES,EQUIPS,Back,,,,-
,U,,Shell,https://drive.google.com/uc?export=view&id=1uaxOy642rI_hjtoZAMrGvKlxovd8EAFp,Seaborn Carapace,epic,A shell taken from the defeated Hatchy Speartle.,,Hatchy Speartle,BACK ACCESSORIES,EQUIPS,Back,,,,-
,U,,Tail,https://drive.google.com/uc?export=view&id=1ZsiUo0DiDa-Ij0uEFgSL4tnNIYdrPZad,Sixsoul Tail,epic,"The tail of Seraph, woven into a soft cushion perfect for a restful nap during long carriage rides.",,Hatchy Seraph,BACK ACCESSORIES,EQUIPS,Back,,,,-
,U,,Totem,https://drive.google.com/uc?export=view&id=1Bz5-oB7Gef9bCIwOa4GH5k_EEjGuUVjR,Courageuse Totem,epic,A totem taken from the defeated Hatchy Tronk.,,Hatchy Tronk,BACK ACCESSORIES,EQUIPS,Back,,,,-
,U,,Sword,https://drive.google.com/uc?export=view&id=1bTEdMmG5ZgeluHfgg09yM_gGIohgAhP6,Ephises,epic,"The sword of Emberslash. Wieldable by humans, but beware—it's scorching hot! Always wear gloves before handling this blazing blade!",,Hatchy Emberslash,BACK ACCESSORIES,EQUIPS,Back,,,,-
,U,,Shield,https://drive.google.com/uc?export=view&id=1qjyy1cwtL_RfMPdVlcCPLmAMigU-s92-,Candlekin Head Shield,epic,"Crafted from the head of a defeated Candlekin, this shield is as light as wood, yet completely fireproof!",,Hatchy Candlekin,BACK ACCESSORIES,EQUIPS,Back,,,,-
,U,,Staff,https://drive.google.com/uc?export=view&id=1F8CbZWB-1qAQ5rPM-d0ZrpAPixW6D5d7,Hypnos Staff,epic,A magic staff taken from the defeated Hatchy Hypnoshade.,,,BACK ACCESSORIES,EQUIPS,Back,,,,-
,U,,Tendril,https://drive.google.com/uc?export=view&id=1kequszsSAy12VD5bNz7dEtaejHPVFGs5,Entwined Hand Tendril,epic,An accessory taken from the defeated Hatchy Mancia.,,,BACK ACCESSORIES,EQUIPS,Back,,,,-
,U,,Spike,https://drive.google.com/uc?export=view&id=1AW6UAhVKDAgWXIBbALOJcfNxM-hNGSYo,Green Gladius,epic,"An accessory taken from the defeated Hatchy Carathorn, slightly modified to become an additional weapon for protecting the back.",,,BACK ACCESSORIES,EQUIPS,Back,,,,-
,U,,IMG_3868,https://drive.google.com/uc?export=view&id=1vzsd-NAhk4iaY9WoVRlyh4R80NYRziqZ,Aximo,rare,"A diminutive axe of reserve, adorned with a touch of elegance on its metal edge, designed to please the eye.",,,BACK ACCESSORIES,EQUIPS,Back,,,,-
,U,,IMG_3869,https://drive.google.com/uc?export=view&id=1UPd1D9Qt6Qdd2TyBmbNPUgp5TU5fLBEh,Vigilia Backshield,rare,A backshield placed on the back is usually worn by ordinary soldiers.,,,BACK ACCESSORIES,EQUIPS,Back,,,,-
,U,,IMG_3870,https://drive.google.com/uc?export=view&id=1Ya7sBlLyumHjIC3dxomFaMy4OuMpySEe,Crux,rare,"A conventional sword with a curved quillon, characterized by its elegant simplicity.",,,BACK ACCESSORIES,EQUIPS,Back,,,,-
,U,,IMG_3871,https://drive.google.com/uc?export=view&id=1dsxUQCsLltdJ3GIKnA6z384dFR6aJDg1,Rigor Backshield,rare,"A lighter and more flexible backshield, surpassing the Vigilia Backshield in its agility, yet commanding a slightly higher price.",,,BACK ACCESSORIES,EQUIPS,Back,,,,-
,M,,IMG_3855,https://drive.google.com/uc?export=view&id=1H4mYDkTEDohbHfHbP4uHvwG5vYGrrxIH,Blazing Chill Jacket,rare,This red jacket is perfect for both chill days and workout sessions - it's a great all-around choice!,,,BODY ARMOR,EQUIPS,Torso,,,#REF!,-
,F,,IMG_3843,https://drive.google.com/uc?export=view&id=1wYyOVH-NpCpyLFJrJztM1M36m3SgMlq8,Red-Black Mock Neck Jacket,common,"A stylish jacket with a slightly high collar, featuring an eye-catching combination of red and black.",,,BODY ARMOR,EQUIPS,Torso,,,,-
